English,Български,Deutsch,Norwegian,French
you,Вие,Sie,du,tu
I,Аз,Ich,Jeg,je
to,да се,zu,til,à
and,и,und,og,et
that,че,das,at,cette
it,то,es,den,ce
of,на,von,av,de
me,аз,mich,meg,moi
what,Какво,was,hva,Quel
is,е,ist,er,est
in,в,in,i,dans
this,това,Dies,dette,cette
know,зная,kennt,vet,savoir
I'm,Аз съм,Ich bin,Jeg er,je suis
for,за,zum,til,pour
no,не,Nein,Nei,non
have,имам,verfügen über,ha,ont
my,милост,mein,min,ma
don't,не,nicht,ikke,ne pas
just,просто,nur,bare,seulement
not,не,nicht,ikke,ne pas
do,правя,tun,gjøre,faire
be,бъда,Sein,være,être
on,На,An,på,au
your,Вашият,Ihre,din,ton
was,беше,war,var,était
we,Ние,wir,vi,nous
it's,това е,es ist,det er,c'est
with,в,mit,med,avec
so,така,so,så,donc
but,но,aber,men,mais
all,всичко,alle,alle,tous
well,добре,Gut,vi vil,bien
are,"е, са",sind,er,sommes
he,той,er,han,il
oh,О.,Oh,Åh,Oh
about,относно,Über,Om,À propos
right,дясно,rechts,Ikke sant,droit
you're,Ти си,du bist,Du er,tu es
get,имам,werden,få,avoir
here,тук,Hier,her,ici
out,навън,aus,ute,dehors
going,отива,gehen,går,Aller
like,като,mögen,som,Comme
yeah,Да,Ja,Yeah.,Oui
if,ако,wenn,hvis,si
her,тя,Sie,henne,sa
she,тя,Sie,hun,elle
can,мога,kann,kan,pouvez
up,горе,hoch,opp,en haut
want,искам,wollen,ønsker det,vouloir
think,мисля,denken,synes at,pense
that's,това е,das ist das,det er,c'est
now,сега,jetzt,nå,maintenant
go,отивам,gehen,gå,aller
him,него,ihm,ham,lui
at,в,bei,på,à
how,как,wie,hvordan,comment
got,има,habe,fikk det,eu
there,там,dort,der,là
one,един,einer,en,une
did,Направих,Tat,gjorde det,fait
why,защо,warum,Hvorfor,Pourquoi
see,вж,sehen,se,voir
come,идвам,Kommen Sie,komme,venir
good,добре,gut,god,bon
they,те,Sie,de,elles ou ils
really,наистина ли,Ja wirklich,egentlig,vraiment
as,като,wie,som,comme
would,би могло,möchten,Ville det,aurait
look,виж,aussehen,se,voir
when,кога,Wenn,når,lorsque
time,време,Zeit,tid,temps
will,ще,Wille,vil,volonté
okay,добре,okay,greit,d'accord
back,обратно,zurück,tilbake,arrière
can't,не мога,kippen,kan ikke,ne pas
mean,означава,bedeuten,mener,moyenne
tell,казвам,erzählen,fortelle,raconter
I'll,аз ще,Krank,jeg vil,je vais
from,от,von,fra,de
hey,Хей,Hey,Hei,Hey
were,бяха,wurden,var.,étaient
he's,той е,er ist,han er,il est
could,бих могъл,könnten,kunne,pourrait
didn't,не,nicht,gjorde det ikke,ne pas
yes,Да,Jawohl,ja,Oui
his,негов,seine,hans,le sien
been,е бил,gewesen,been,été
or,или,oder,eller,ou
something,нещо,etwas,noe,quelque chose
who,Кой,Wer,WHO,qui
because,като,da,fordi,car
some,нещо подобно,etwas,noen,certains
had,чест,hatte,hadde,avais
then,тогава,dann,deretter,alors
say,казвам,sagen,si,dire
ok,Добре,OK,OK,d'accord
take,предприеме,nehmen,ta,prendre
way,начин,Weg,vei,manière
us,нас,uns,oss,nous
little,малко,wenig,litt,peu
make,язвителност,machen,gjøre,Fabriquer
need,трябва,brauchen,trenge,avoir besoin
gonna,да,wird,skal,va
never,никога,noch nie,aldri,jamais
we're,бяха,wurden,Vi er,étaient
too,и също,auch,også,trop
love,любов,Liebe,kjærlighet,amour
she's,тя е,sie ist,hun er,elle est
I've,Аз,Ich habe,Jeg har det,À
sure,сигурен,sicher,sikker,Bien sur
them,тях,Sie,dem,eux
more,Повече ▼,mehr,mer,Suite
over,над,Über,over,plus de
our,нашия,unsere,våre,notre
sorry,съжалявам,Verzeihung,Beklager,Pardon
where,където,wo,hvor,où
what's,какво има,Was ist?,Hva er det,ce qu'il faut
let,позволявам,Lassen,la,laisser
thing,нещо,Ding,ting,chose
am,съм,bin,er,un m
maybe,може би,kann sein,kan være,peut être
down,влошаване,Nieder,ned,vers le bas
man,човек,Mann,Mann,homme
has,има,hat,har.,a
uh,ъп,äh,Uh.,euh
very,много,sehr,veldig,très
by,до,von,av,par
there's,има,Da ist es,det er,Il y a
should,Трябва,sollen,bør,devrait
anything,нещо,irgendetwas,hva som helst,n'importe quoi
said,казах,genannt,sa,mentionné
much,много,viel,mye,beaucoup
any,всякакви,irgendein,noen,tout
life,живот,Leben,liv,la vie
even,дори,sogar,til og med,même
off,омраза,aus,av,désactivé
please,Моля те,bitte,vær så snill,s'il te plaît
doing,правене,tun,gjør,Faire
thank,благодарение,danken,takke,remercier
give,давам,geben Sie,gi,donner
only,само,nur,kun,seul
thought,мисъл,Gedanke,tenkte,pensée
help,помогне,Hilfe,hjelp,aider
two,две,zwei,to,deux
talk,говоря,sprechen,snakke,parlez
people,хора,Personen,mennesker,personnes
god,Бог,Gott,Gud,Dieu
still,все още,still,fortsatt,toujours
wait,изчакайте,Warten,vente,attendre
into,в,hinein,inn i,dans
find,намирам,finden,finne,trouve
nothing,Нищо,nichts,ingenting,rien
again,отново,wieder,en gang til,de nouveau
things,неща,Dinge,tingene,des choses
let's,Нека да,Lasst uns,La oss,allongons
doesn't,не,nicht,gjør det ikke,ne pas
call,повикване,Anruf,anrop,appel
told,разказа,erzählt,fortalte,Raconté
great,страхотен,groß,flott,super
before,преди,Vor,før,avant
better,По-добре,besser,bedre,meilleur
ever,някога,je,noen gang,déjà
night,нощ,Nacht,natt,nuit
than,от него,als,enn,que
away,далеч,ein Weg,borte,une façon
first,Първо,Erste,først,premier
believe,вярвам,glauben,tro,croire
other,Друг,Sonstiges,annen,autre
feel,Усещам,Gefühl,føle,ressentir
everything,всичко,alles,alt,tout
work,работа,Arbeit,arbeid,travail
you've,Вие сте,Du bist,du har,vous avez
fine,глоба,fein,fint,amende
home,У дома,Heimat,hjem,domicile
after,след,nach,etter,après
last,последно,letzte,siste,dernier
these,тези,diese,disse,ces
day,ден,Tag,dag,journée
keep,пазя,halten,beholde,garder
does,прави,tut,gjør,Est-ce que
put,слагам,stellen,sette,mettre
around,наоколо,um herum,rundt,environ
stop,Спри се,halt,Stoppe,arrêter
they're,те са,Sie sind,de er,ils sont
I'd,Документ за самоличност,Ausweis,Jeg ville,Identifiant
guy,човек,Kerl,fyr,mec
long,дълъг,lang,lang,longue
isn't,не е,ist nicht,er ikke,n'est pas
always,винаги,immer,bestandig,toujours
listen,слушам,hören,lytte,Ecoutez
wanted,търси се,gesucht,ønsket,voulait
Mr.,Г-н.,Herr.,MR.,Monsieur.
guys,момчета,Leute,folkens,les gars
huh,Huh.,Huh,Hu h,hein
those,тези,jene,de,celles
big,Big.,groß,stor,gros
lot,много,Menge,Lot,parcelle
happened,се случи,passiert,skjedde,passé
thanks,Благодаря,Danke,Takk,Merci
won't,няма,Gewohnheit,vil ikke,habitude
trying,опитвайки,versuche,å prøve,en essayant
kind,мил,nett,snill,type
wrong,погрешно,falsch,feil,tort
through,през,durch,gjennom,par
talking,Говорене,reden,snakker,parlant
made,направен,gemacht,Made.,fabriqué
new,нов,Neu,ny,Nouveau
being,същество,Sein,å være,étant
guess,предположение,vermuten,Gjett,deviner
hi,Здравей,Hi,hei,salut
care,грижа,Pflege,omsorg,se soucier
bad,лоша,Schlecht,dårlig,mauvais
mom,мама,Mama,mamma,maman
remember,помня,erinnern,huske,rappelles toi
getting,получаване,bekommen,får,obtenir
we'll,добре,Gut,vi vil,bien
together,заедно,zusammen,sammen,ensemble
dad,татко,Vati,pappa,père
leave,оставям,verlassen,permisjon,laisser
mother,майка,Mutter,mor,mère
place,Място,Platz,plass,endroit
understand,размисъл,verstehen,forstå,comprendre
wouldn't,нямаше,würde nicht,Ville ikke,ne serait pas
actually,всъщност,Genau genommen,faktisk,réellement
hear,чувам,hören,høre,écouter
baby,Бебе,Baby,baby,bébé
nice,Ница,nett,hyggelig,joli
father,Отец,Vater,far,père
else,друго,anders,ellers,autre
stay,престой,bleibe,oppholde seg,rester
done,Свършен,getan,gjort,terminé
wasn't,не беше,War es nicht?,var ikke,n'était pas
their,техен,ihr,deres,leur
course,Курс,Kurs,kurs,cours
might,"биха могли, може",Macht,kanskje,force
mind,ум,Verstand,sinn,dérange
every,всеки,jeden,hver,tous
enough,достатъчно,genug,nok,assez
try,опитвам,Versuchen,prøve,essayer
hell,по дяволите,Hölle,helvete,l'enfer
came,дойде,kam,kom,venu
someone,някой,jemand,noen,Quelqu'un
you'll,Ще,du wirst,Du vil,vous allez
own,собствен,besitzen,egen,posséder
family,Семейство,Familie,familie,famille
whole,цял,ganz,hel,entier
another,друг,Ein weiterer,en annen,un autre
House,Къща,Haus,Hus,loger
yourself,себе си,du selbst,deg selv,toi-même
idea,Идея,Idee,idé,idée
ask,питам,Fragen,spørre,interroger
best,най-доброто,Beste,beste,meilleur
must,трябва да,muss,må,doit
coming,идва,Kommen,kommer,à venir
old,стар,alt,gammel,vieille
looking,Търсене,schauend,Ser,en regardant
woman,жена,Frau,kvinne,femme
hello,Здравейте,Hallo,Hallo,Bonjour
which,който,welcher,hvilken,lequel
years,години,Jahre,år,années
room,стая,Zimmer,rom,pièce
money,пари,Geld,penger,de l'argent
left,наляво,links,venstre,la gauche
knew,Знаех,wusste,visste det,a connu
tonight,тази нощ,heute Abend,i kveld,ce soir
real,реален,Real,ekte,réel
son,Син,Sohn,sønn,fils
hope,надявам се,Hoffnung,håp,espérer
name,Име,Name,Navn,Nom
same,същото,gleich,samme,même
went,отиде,ging,gikk.,est allé
um,смисъл,Äh,UM.,ombre
hmm,Хм.,Hmm,Hmm.,Hmm
happy,щастлив,glücklich,lykkelig,heureux
pretty,красива,ziemlich,ganske,joli
saw,трион,sah,sag,vu
girl,момиче,Mädchen,pike,fille
sir,господ,Herr,Herr,Monsieur
show,шоу,zeigen,forestilling,spectacle
friend,приятел,Freundin,venn,amie
already,Вече,schon,allerede,déjà
saying,казвам,Sprichwort,ordtak,en disant
may,може,können,kan,peut
next,следващия,nächste,NESTE,Suivant
three,три,drei,tre,Trois
job,работа,Job,jobb,travail
problem,Проблем,Problem,problem,problème
minute,Минута.,Minute,minutt,minute
found,намерен,gefunden,funnet,trouvé
world,свят,Welt,verden,monde
thinking,мислене,Denken,tenker,pensée
haven't,не съм,Hat nicht,har ikke det,ne pas avoir
heard,чудовище,gehört,hørt det,entendu
honey,пчелен мед,Honig,honning,mon chéri
matter,материя,Gegenstand,saken,question
myself,себе си,mich selber,meg selv,moi même
couldn't,не можеше,Könnte nicht,Kunne ikke,ne pouvait pas
exactly,точно,Exakt,nøyaktig,exactement